CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
0608603804 02,IA7,8638,4,1456,1971,860,49,7,1,0,3,3,11,11,1,0,1,1,0,1,0,35,3,0,5,0,,,,5,1737400,
0608603830 02,IA7,8638,30,1456,1994,1130,27,3,1,0,3,3,11,11,1,0,1,1,1,1,1,35,3,0,5,0,,,,5,1998540,
0608603872 02,IA7,8638,72,1456,1982,990,38,5,1,0,1,5,11,11,1,0,1,1,0,1,0,35,4,0,1,0,,,,5,1762360,
0608603820 02,IA7,8638,20,1456,1978,941,42,6,1,0,2,7,11,11,1,0,1,1,0,1,1,35,5,0,3,0,,,,5,1896510,
0608603820 03,IA7,8638,20,1456,1998,1182,22,2,1,0,3,3,11,11,1,0,1,1,0,1,1,35,5,0,5,0,,,,5,1896510,
0608603820 04,IA7,8638,20,1456,2000,1210,20,2,1,0,3,1,11,11,1,0,1,1,0,1,1,35,5,0,5,0,,,,5,1896510,
0608603854 02,IA7,8638,54,1456,1971,858,49,7,1,0,2,7,11,11,1,0,1,1,0,1,0,35,4,0,3,0,,,,5,1678550,
0608603892 01,IA7,8638,92,1456,1978,942,42,6,1,0,3,3,11,12,1,0,1,1,0,1,0,35,4,0,5,0,,,,5,1706620,
0608603862 02,IA7,8638,62,1456,1982,995,38,5,1,0,3,3,11,11,1,0,1,1,1,1,1,35,5,0,5,0,,,,5,2016709,
0608603862 03,IA7,8638,62,1456,2004,1252,17,1,1,0,2,6,11,11,1,0,1,1,1,1,1,35,5,0,4,0,,,,5,2016709,
0608603863 02,IA7,8638,63,1456,1976,915,45,7,1,0,3,3,11,11,1,0,1,1,0,1,1,35,10,0,5,0,,,,5,1989570,
0608603863 05,IA7,8638,63,1456,1980,966,40,6,1,0,3,3,11,11,1,0,1,1,0,1,1,35,10,0,5,0,,,,5,1989570,
0608603863 06,IA7,8638,63,1456,2002,1229,18,1,1,0,2,7,11,11,1,0,1,1,0,1,1,35,10,0,3,0,,,,5,1989570,
0608603863 07,IA7,8638,63,1456,2005,1263,16,1,1,0,2,4,11,11,1,0,1,1,0,1,1,35,10,0,3,0,,,,5,1989570,
0783703091 04,IA7,83730,91,1441,1981,973,39,5,1,0,2,3,11,11,1,0,1,1,0,1,0,35,7,0,3,0,,,,5,1512850,
0783703091 05,IA7,83730,91,1441,2001,1216,18,1,1,0,2,7,11,11,1,0,1,1,0,1,0,35,7,0,3,0,,,,5,1512850,
0783703016 02,IA7,83730,16,1441,1980,961,40,6,1,0,0,,11,11,1,0,1,1,0,1,0,31,5,0,0,0,,0,0,4,729940,
0783703016 03,IA7,83730,16,1441,1999,1196,20,2,1,0,2,6,11,11,1,0,1,1,0,1,0,31,5,0,4,0,,1,3,4,729940,
0783703016 04,IA7,83730,16,1441,2001,1214,18,1,1,0,2,7,11,11,1,0,1,1,0,1,0,31,5,0,3,0,,1,3,4,729940,
0783703055 02,IA7,83730,55,1441,1977,927,42,6,1,0,2,3,11,11,1,0,1,1,0,0,0,35,3,0,3,0,,,,3,466330,
0783703022 02,IA7,83730,22,1441,1987,1050,32,4,1,0,2,7,11,11,1,0,1,1,0,0,0,35,6,1,3,0,,1,0,5,1378260,
0783703061 02,IA7,83730,61,1441,1981,977,38,5,1,0,2,5,11,11,1,0,1,1,0,0,0,33,4,0,3,0,,1,0,5,1188910,
0783703061 03,IA7,83730,61,1441,2001,1223,18,1,1,0,2,6,11,11,1,0,1,1,0,0,0,33,4,0,4,0,,1,3,5,1188910,
0783703098 02,IA7,83730,98,1441,1971,862,48,7,1,0,2,4,13,11,1,0,1,1,0,1,0,33,5,0,3,0,,1,0,5,1140130,
0783703026 01,IA7,83730,26,1441,1978,943,41,6,1,0,1,5,13,11,1,0,1,1,0,1,0,33,2,0,1,0,,,,4,1034070,
0783703079 03,IA7,83730,79,1441,1987,1054,32,4,1,0,2,5,13,11,1,0,1,1,0,1,0,31,9,0,3,0,,0,3,5,1217680,
0783703051 04,IA7,83730,51,1441,1988,1057,32,4,1,0,0,,11,11,1,0,1,1,0,0,0,35,6,1,0,0,,,,4,716449,
0783703033 04,IA7,83730,33,1441,1993,1124,26,3,1,0,3,3,13,11,1,0,1,1,0,0,0,33,4,0,5,0,,1,3,5,1198869,
0783703020 03,IA7,83730,20,1441,2000,1203,19,1,1,0,2,3,11,12,1,0,1,1,0,0,0,35,8,0,3,0,,,,5,1423340,
0783703020 04,IA7,83730,20,1441,2002,1230,17,1,1,0,2,2,11,12,1,0,1,1,0,0,0,35,8,0,3,0,,,,5,1423340,
0783703020 05,IA7,83730,20,1441,2003,1244,16,1,1,0,2,1,11,12,1,0,1,1,0,0,0,35,8,0,3,0,,,,5,1423340,
0783703075 04,IA7,83730,75,1441,1996,1154,23,2,1,0,2,7,11,11,1,0,1,1,1,1,0,31,7,1,3,0,,0,0,5,1267550,
0783703165 02,IA7,83731,65,1441,1983,997,37,5,1,0,2,3,11,11,1,1,1,1,0,0,0,33,8,2,3,0,,,,5,1373670,
0783703165 06,IA7,83731,65,1441,1995,1149,24,2,1,0,2,7,11,11,1,1,1,1,0,0,0,33,8,2,3,0,,,,5,1373670,
0783703157 01,IA7,83731,57,1441,1976,920,43,6,1,0,3,3,11,11,1,0,1,1,0,1,0,33,3,0,5,0,,,,5,1622080,
0783703105 06,IA7,83731,5,1441,2003,1242,16,1,1,0,2,5,11,11,1,0,1,1,1,1,0,33,6,0,3,0,,,,5,1768980,
0783703173 03,IA7,83731,73,1441,1971,857,48,7,1,0,3,3,11,11,1,0,1,1,1,1,1,33,5,0,5,0,,,,5,1804130,
0783703153 02,IA7,83731,53,1441,1982,996,37,5,1,0,2,7,11,14,1,1,1,1,1,1,0,33,4,0,3,0,,,,5,1719890,
0783703167 04,IA7,83731,67,1441,2001,1218,18,1,1,0,2,7,11,14,1,1,1,1,0,1,0,33,4,0,3,1,,,,5,1563170,
0783703185 02,IA7,83731,85,1441,1975,903,44,6,1,0,3,3,11,14,1,1,1,1,0,1,1,33,4,0,5,0,,,,5,1293480,
0783703185 03,IA7,83731,85,1441,2000,1205,19,1,1,0,3,1,11,14,1,1,1,1,0,1,1,33,4,0,5,0,,,,5,1293480,
0783703138 02,IA7,83731,38,1441,1973,886,46,7,1,0,3,3,11,14,1,1,1,1,0,1,0,33,3,0,5,0,,,,5,1309769,
0783703129 02,IA7,83731,29,1441,1982,988,37,5,1,0,2,5,11,11,1,0,1,1,0,1,0,35,3,0,3,0,,,,5,1548750,
0783703114 02,IA7,83731,14,1441,1975,903,44,6,1,0,1,2,11,11,1,0,1,1,0,0,0,35,8,0,1,0,,,,5,1487000,
0783703114 03,IA7,83731,14,1441,1995,1147,24,2,1,0,2,7,97,97,7,7,7,7,7,7,7,97,8,0,3,7,,,,5,1487000,
0783703114 07,IA7,83731,14,1441,1999,1194,20,2,1,0,2,7,11,11,1,0,1,1,0,0,0,35,8,0,3,0,,,,5,1487000,
0783703114 08,IA7,83731,14,1441,2002,1232,17,1,1,0,2,6,11,11,1,0,1,1,0,0,0,35,8,0,4,0,,,,5,1487000,
0783703131 02,IA7,83731,31,1441,1988,1065,31,4,1,0,3,3,11,14,1,1,1,1,0,1,1,33,4,1,5,0,,,,5,1578070,
0783703112 02,IA7,83731,12,1441,1985,1029,34,4,1,0,2,5,11,11,1,1,1,1,0,1,0,33,5,1,3,0,,,,5,1268600,
0783703139 03,IA7,83731,39,1441,1978,938,41,6,1,0,3,5,11,11,1,0,1,1,0,1,0,33,6,0,5,0,,,,5,1349790,
0783703103 02,IA7,83731,3,1441,1977,926,42,6,1,0,3,3,11,11,1,0,1,1,0,1,1,33,5,0,5,0,,,,5,1951260,
0783702952 02,IA7,83729,52,1453,1989,1076,31,4,1,0,3,3,11,11,1,0,1,1,1,0,0,35,5,2,5,0,,,,5,1536800,
0783702928 03,IA7,83729,28,1453,1990,1088,30,4,1,0,3,4,11,11,1,0,1,1,0,0,0,35,4,0,5,0,,,,5,1427740,
0783702979 02,IA7,83729,79,1453,1988,1064,32,4,1,0,2,4,71,11,1,0,1,1,1,0,0,35,4,1,3,0,,,,5,1196010,
0783702920 02,IA7,83729,20,1453,1997,1171,23,2,1,0,2,3,71,11,1,0,1,1,0,1,0,35,2,0,3,0,,,,5,1378440,
0783702986 02,IA7,83729,86,1453,1979,954,41,6,1,0,2,5,71,11,1,0,1,1,1,0,0,35,5,0,3,0,,,,5,1341100,
0783702986 03,IA7,83729,86,1453,2005,1270,15,1,1,0,2,4,71,11,1,0,1,1,1,0,0,35,5,0,3,0,,,,5,1341100,
0783702917 03,IA7,83729,17,1453,1983,1003,37,5,1,0,1,0,11,11,1,0,1,1,0,0,0,35,5,1,1,0,,,,5,1415510,
0783702926 02,IA7,83729,26,1453,1980,964,40,6,1,0,2,3,71,11,1,0,1,1,0,1,0,35,5,0,3,0,,,,5,1583300,
0783702973 02,IA7,83729,73,1453,1974,893,46,7,1,0,2,3,11,11,1,0,1,1,0,1,0,35,5,0,3,0,,,,5,1775810,
0783702973 04,IA7,83729,73,1453,2002,1227,18,1,1,0,2,4,11,11,1,0,1,1,0,1,0,35,5,0,3,0,,,,5,1775810,
0783702918 02,IA7,83729,18,1453,1995,1148,25,3,1,0,3,3,11,11,1,0,1,1,0,1,1,35,2,0,5,0,,,,5,1826150,
0783702966 04,IA7,83729,66,1453,1991,1093,30,4,1,0,2,7,11,11,1,0,1,1,1,0,0,35,7,3,3,0,,,,5,1488700,
